#hashtags;application-site
Lunascape;application-site
Luxembourg IBAN;CpmiPatternDataType
Luxembourg VAT Number;CpmiPatternDataType
LWP::Simple;application-site
Lynda;application-site
M-Files Cloud Vault;application-site
m.slandr.net;application-site
M3 Protcol;application-site
Mabontland;application-site
MAC Address;CpmiPatternDataType
Macedonia IBAN;CpmiPatternDataType
Machine Readable Passport Numbers;CpmiPatternDataType
MacNikto;application-site
Macrium Reflect;application-site
MacUpdate Desktop;application-site
MacWereld.nl FeedLezer;application-site
Madden of NFL;application-site
madKast;application-site
Madster;service-tcp
Maelstorm;application-site
MagFS;application-site
Magi-Nation;application-site
Magic MP3 Tagger;application-site
Magician Social Network;application-site
magicVORTEX;application-site
Magister;application-site
Magpie;application-site
Maid Marian;application-site
Mail to a Non-Legal Firm;CpmiNcodeDataType
Mail With Attachment;CpmiCustomDataType
Mail.com;application-site
Mail.ru;application-site
Mail.Ru Agent;application-site
Mail.Ru Agent-file transfer;application-site
Mail.Ru WebAgent;application-site
Mail.ru-cloud;application-site
Mail.ru-cloud-download;application-site
Mail.ru-cloud-upload;application-site
Mail.ru-games;application-site
Mail.ru-mail;application-site
Mail.ru-moimir;application-site
mail2web.com Web Messenger;application-site
MailBigFile;application-site
MailChimp;application-site
Maileet;application-site
MailPlane;application-site
Mailtrap.io;application-site
Makagiga;application-site
Make Internet TV;application-site
Malaysia Classification Terms;CpmiWordsDataType
Malta IBAN;CpmiPatternDataType
Malta VAT Number;CpmiPatternDataType
Malwarebytes;application-site
Mamba;application-site
Mamut Online Backup;application-site
Mandolino Voice chat;application-site
MANET;application-site
Manila;application-site
Manolito;application-site
Mapbox;application-site
MAPI Protocol;application-site
MapleStory;application-site
MapQuest Toolbar;application-site
Mapspread;application-site
MapWii.com;application-site
Marijuana;application-site-category
Marimba_Netcaster;service-compound-tcp
Marine Leatherneck Space;application-site
Market Identification Code;CpmiDictionaryDataType
Market+ Mobile;application-site
Market-Q;application-site
Market7;application-site
marketingadvice;application-site
Marketo;application-site
MarkLogic-XDBC;application-site
Markup File;CpmiFileDataType
Mashable;application-site
Mashable-shopping;application-site
mask-reply;service-icmp
mask-request;service-icmp
Mass Download;application-site
Mass Downloader;application-site
MassMirror;application-site
Matador;application-site
Match Activity;application-site
Match.com;application-site
Mateable.com;application-site
Mauritania IBAN;CpmiPatternDataType
Mauritius IBAN;CpmiPatternDataType
Maven Networks;application-site
Mavenlink;application-site
Mavenlink-download;application-site
Mavenlink-posting;application-site
Mavenlink-upload;application-site
MaxDB;application-site
Maxgo;application-site
Maxthon;application-site
MayasMoM;application-site
Mayotte IBAN;CpmiPatternDataType
Maytech quatrix;application-site
Maytech quatrix-download;application-site
Maytech quatrix-file sharing;application-site
Maytech quatrix-upload;application-site
Mazaak Masti;application-site
Mazetorrents.net;application-site
McAfee ePolicy Orchestrator;application-site
McAfee Internet Security;application-site
McAfee-update;application-site
McDonald's Happy Meal 3.0;application-site
mDigger Reader;application-site
Me2;application-site
me2disk;application-site
me2disk-download;application-site
Mead Map;application-site
MeBeam;application-site
MeCanto;application-site
Media and Images;CpmiFileDataType
Media Max;application-site
Media Sharing;application-site-category
Media Sharing;application-site-category
Media Streams;application-site-category
Media Streams;application-site-category
Mediabistro;application-site
MediaCentral;application-site
MediaFire;application-site
MediaFire-web-download;application-site
MediaFire-web-editing;application-site
MediaFire-web-upload;application-site
MediaGet;application-site
MediaMax;application-site
Mediaraptor;application-site
MediaWiki;application-site
Medical Jargon;CpmiDictionaryDataType
Medical Passions;application-site
Medium Access Control (MAC) for LTE;application-site
Medium Risk;application-site-category
medXcentral;application-site
Meebo-file sharing;application-site
MeeboMe;application-site
Meerkat;application-site
Meetic;application-site
MEETin;application-site
MeetMe;application-site
Meetup;application-site
Meetup-create group;application-site
Meetup-email;application-site
Meetup-forum;application-site
Meez;application-site
Mega;application-site
Mega-download;application-site
Mega-upload;application-site
MegaChat;application-site
Megacoin;application-site
MegaMeeting;application-site
Megaproxy;application-site
Megashare;application-site
Megashares.com;application-site
MegaSWF;application-site
Megaupload;application-site
Megavideo;application-site
Meglobe;application-site
Megogo;application-site
Megogo-streaming;application-site
MehTV;application-site
meinvz;application-site
Mekusharim;application-site
Mekusharim-chat;application-site
Meldium;application-site
MELSEC Q 3E Binary Frame - Batch Read Array Type Labels;application-site
MELSEC Q 3E Binary Frame - Batch Read in bit units;application-site
MELSEC Q 3E Binary Frame - Batch Read in word units;application-site
MELSEC Q 3E Binary Frame - Batch Read Multiple Blocks;application-site
MELSEC Q 3E Binary Frame - Batch Write Array Type Labels;application-site
MELSEC Q 3E Binary Frame - Batch Write in bit units;application-site
MELSEC Q 3E Binary Frame - Batch Write in word units;application-site
MELSEC Q 3E Binary Frame - Batch Write Multiple Blocks;application-site
MELSEC Q 3E Binary Frame - Close File;application-site
MELSEC Q 3E Binary Frame - Copy File;application-site
MELSEC Q 3E Binary Frame - Create New File;application-site
MELSEC Q 3E Binary Frame - Delete File;application-site
MELSEC Q 3E Binary Frame - Loopback Test;application-site
MELSEC Q 3E Binary Frame - Modify File Attribute;application-site
MELSEC Q 3E Binary Frame - Modify File Creation Date and Time;application-site
MELSEC Q 3E Binary Frame - Monitor;application-site
MELSEC Q 3E Binary Frame - Open File;application-site
MELSEC Q 3E Binary Frame - Random Read in word units;application-site
MELSEC Q 3E Binary Frame - Random Read Labels;application-site
MELSEC Q 3E Binary Frame - Random Write Labels;application-site
MELSEC Q 3E Binary Frame - Read Buffer Memory;application-site
MELSEC Q 3E Binary Frame - Read CPU Model Name;application-site
MELSEC Q 3E Binary Frame - Read Directory/File Information;application-site
MELSEC Q 3E Binary Frame - Read File;application-site
MELSEC Q 3E Binary Frame - Read Intelligent Function Module;application-site
MELSEC Q 3E Binary Frame - Remote Latch Clear;application-site
MELSEC Q 3E Binary Frame - Remote Lock Password;application-site
MELSEC Q 3E Binary Frame - Remote Pause;application-site
MELSEC Q 3E Binary Frame - Remote Reset;application-site
MELSEC Q 3E Binary Frame - Remote Run;application-site
MELSEC Q 3E Binary Frame - Remote Stop;application-site
MELSEC Q 3E Binary Frame - Remote Unlock Password;application-site
MELSEC Q 3E Binary Frame - Rigester Monitor Data;application-site
MELSEC Q 3E Binary Frame - Search Directory/File Information;application-site
MELSEC Q 3E Binary Frame - Write Buffer Memory;application-site
MELSEC Q 3E Binary Frame - Write Intelligent Function Module;application-site
MELSEC Q 3E Binary Frame - Write to File;application-site
MELSEC Q protocol - MC 3E ASCII Frame;application-site
MELSEC Q protocol - MC 3E Binary Frame;application-site
MELSEC Q protocol - MC 4E ASCII Frame;application-site
MELSEC Q protocol - MC 4E Binary Frame;application-site
MELSOFT protocol;application-site
Memcached;application-site
Memeo Share;application-site
Memopal;application-site
Mendeley;application-site
Mendeley-upload;application-site
Meocloud-download;application-site
Meocloud-upload;application-site
Meraki Cloud Controller;application-site
Mergers and Acquisitions Data;CpmiCompoundDataType
Mergers and Acquisitions Terms;CpmiDictionaryDataType
MesNews;application-site
Messenger Kids;application-site
Messenger_Applications;service-group
MessengerFX;application-site
Metacafe;application-site
MetaIP-UAT;service-udp
Metal.iplay.ro;application-site
Metaplace;application-site
Metasploit Framework-update;application-site
Metatrader;application-site
Mexico Classification Terms;CpmiWordsDataType
Mexico Electoral Registration Code;CpmiPatternDataType
Mexico Federal Taxpayers Registry - RFC - Business Entities;CpmiPatternDataType
Mexico Federal Taxpayers Registry - RFC - Individuals;CpmiPatternDataType
Mexico Social Security Number;CpmiPatternDataType
Mexico State Names;CpmiDictionaryDataType
Mexico Unique Population Registry Code - CURP;CpmiPatternDataType
MGCP Protocol;application-site
mgcp_CA;service-udp
MGCP_dynamic_ports;service-other
mgcp_MG;service-udp
mGinger;application-site
mgoon;application-site
mHelpDesk;application-site
miaplaza;application-site
Mibbit;application-site
Mico;application-site
Microsoft & Office365 Services;application-site-category
Microsoft Account;application-site
Microsoft Active Protection Service;application-site
Microsoft Cluster Server;application-site
Microsoft Download Manager;application-site
Microsoft Dynamics CRM;application-site
Microsoft Edge;application-site
Microsoft Excel;application-site
Microsoft Excel-web;application-site
Microsoft Exchange Mailbox Replication Service;application-site
Microsoft Hyper-V-connect;application-site
Microsoft Internet Security and Acceleration Client;application-site
Microsoft Media Server (MMS);application-site
Microsoft Media Server over HTTP (MMSH);application-site
Microsoft NCSI;application-site
Microsoft NetMeeting;application-site
Microsoft NTLM;application-site
Microsoft Office Groove;application-site
Microsoft Office-update;application-site
Microsoft OneDrive;application-site
Microsoft OneDrive for Business;application-site
Microsoft OneDrive-remote access;application-site
Microsoft OneDrive-remove;application-site
Microsoft OneDrive-upload;application-site
Microsoft OneDrive-web;application-site
Microsoft OneDrive-web-download;application-site
Microsoft OneDrive-web-remove;application-site
Microsoft OneDrive-web-sharing;application-site
Microsoft OneDrive-web-sync;application-site
Microsoft OneDrive-web-upload;application-site
Microsoft OneNote-web;application-site
Microsoft Outlook Translator;application-site
Microsoft Outlook-web;application-site
Microsoft Outlook-web-file transfer;application-site
Microsoft Outlook-web-posting;application-site
Microsoft Power BI-web;application-site
Microsoft PowerApps;application-site
Microsoft PowerPoint-web;application-site
Microsoft Remote Desktop Connection;application-site
Microsoft Service Controller;application-site
Microsoft Services;application-site
Microsoft SMS Remote Control Service;application-site
Microsoft SQL Server (TDS Protocol);application-site
Microsoft SQL Server Analysis Services;application-site
Microsoft Store;application-site
Microsoft Stream;application-site
Microsoft Teams;application-site
Microsoft Teams-download;application-site
Microsoft Teams-editing;application-site
Microsoft Teams-file transfer;application-site
Microsoft Teams-posting;application-site
Microsoft Teams-remote control;application-site
Microsoft Teams-sharing;application-site
Microsoft Teams-upload;application-site
Microsoft Teams-Web Tab;application-site
Microsoft Translator;application-site
Microsoft Windows Mail;application-site
Microsoft Windows Mail-file transfer;application-site
Microsoft Windows Mail-posting;application-site
Microsoft Word;application-site
Microsoft Word-web;application-site
microsoft-ds;service-tcp
microsoft-ds-udp;service-udp
Microsoft_Channels;service-compound-tcp
Middlepost;application-site
Midnight-torrents.com;application-site
Midori;application-site
MiGente;application-site
MightyQuiz;application-site
Migo Land;application-site
Migu Music;application-site
Mihov Picture Downloader;application-site
Mikogo;application-site
Military Terms;CpmiDictionaryDataType
militaryspot;application-site
Millsberry;application-site
MiMedia;application-site
Mind360;application-site
MindMaker;application-site
MindMeister;application-site
Mindomo;application-site
MindTouch;application-site
MindTouch;application-site
MineCraft;application-site
MinerGate;application-site
Miniaim;application-site
Mininova.org;application-site
Mint;application-site
Minti;application-site
Minus;application-site
MinyanLand;application-site
MioNet;application-site
mIRC;application-site
Miro;application-site
mirTwitter;application-site
MissLee Messenger;application-site
MissLee Messenger-download;application-site
MissLee Messenger-upload;application-site
MissUpload;application-site
MixedInk;application-site
Mixi;application-site
MJ12bot;application-site
MLB.tv;application-site
MLDonkey;application-site
MMO Guildsites;application-site
MMS Protocol;application-site
MMS Protocol - Abort;application-site
MMS Protocol - AcknowledgeEventNotification Request;application-site
MMS Protocol - AcknowledgeEventNotification Response;application-site
MMS Protocol - AlterEventConditionMonitoring Request;application-site
MMS Protocol - AlterEventConditionMonitoring Response;application-site
MMS Protocol - AlterEventEnrollment Request;application-site
MMS Protocol - AlterEventEnrollment Response;application-site
MMS Protocol - CreateJournal Request;application-site
MMS Protocol - CreateJournal Response;application-site
MMS Protocol - CreateProgramInvocation Request;application-site
MMS Protocol - CreateProgramInvocation Response;application-site
MMS Protocol - DefineEventAction Request;application-site
MMS Protocol - DefineEventAction Response;application-site
MMS Protocol - DefineEventCondition Request;application-site
MMS Protocol - DefineEventCondition Response;application-site
MMS Protocol - DefineEventEnrollment Request;application-site
MMS Protocol - DefineEventEnrollment Response;application-site
MMS Protocol - DefineNamedType Request;application-site
MMS Protocol - DefineNamedType Response;application-site
MMS Protocol - DefineNamedVariable Request;application-site
MMS Protocol - DefineNamedVariable Response;application-site
MMS Protocol - DefineNamedVariableList Request;application-site
MMS Protocol - DefineNamedVariableList Response;application-site
MMS Protocol - DefineScatteredAccess Request;application-site
MMS Protocol - DefineScatteredAccess Response;application-site
MMS Protocol - DefineSemaphore Request;application-site
MMS Protocol - DefineSemaphore Response;application-site
MMS Protocol - DeleteDomain Request;application-site
MMS Protocol - DeleteDomain Response;application-site
MMS Protocol - DeleteEventAction Request;application-site
MMS Protocol - DeleteEventAction Response;application-site
MMS Protocol - DeleteEventCondition Request;application-site
MMS Protocol - DeleteEventCondition Response;application-site
MMS Protocol - DeleteEventEnrollment Request;application-site
MMS Protocol - DeleteEventEnrollment Response;application-site
MMS Protocol - DeleteJournal Request;application-site
MMS Protocol - DeleteJournal Response;application-site
MMS Protocol - DeleteNamedType Request;application-site
MMS Protocol - DeleteNamedType Response;application-site
MMS Protocol - DeleteNamedVariableList Request;application-site
MMS Protocol - DeleteNamedVariableList Response;application-site
MMS Protocol - DeleteProgramInvocation Request;application-site
MMS Protocol - DeleteProgramInvocation Response;application-site
MMS Protocol - DeleteSemaphore Request;application-site
MMS Protocol - DeleteSemaphore Response;application-site
MMS Protocol - DeleteVariableAccess Request;application-site
MMS Protocol - DeleteVariableAccess Response;application-site
MMS Protocol - DownloadSegment Request;application-site
MMS Protocol - DownloadSegment Response;application-site
MMS Protocol - EventNotification;application-site
MMS Protocol - FileClose Request;application-site
MMS Protocol - FileClose Response;application-site
MMS Protocol - FileDelete Request;application-site
MMS Protocol - FileDelete Response;application-site
MMS Protocol - FileDirectory Request;application-site
MMS Protocol - FileDirectory Response;application-site
MMS Protocol - FileOpen Request;application-site
MMS Protocol - FileOpen Response;application-site
MMS Protocol - FileRead Request;application-site
MMS Protocol - FileRead Response;application-site
MMS Protocol - FileRename Request;application-site
MMS Protocol - FileRename Response;application-site
MMS Protocol - GetAlarmEnrollmentSummary Request;application-site
MMS Protocol - GetAlarmEnrollmentSummary Response;application-site
MMS Protocol - GetAlarmSummary Request;application-site
MMS Protocol - GetAlarmSummary Response;application-site
MMS Protocol - GetCapabilityList Request;application-site
MMS Protocol - GetCapabilityList Response;application-site
MMS Protocol - GetDomainAttributes Request;application-site
MMS Protocol - GetDomainAttributes Response;application-site
MMS Protocol - GetEventActionAttributes Request;application-site
MMS Protocol - GetEventActionAttributes Response;application-site
MMS Protocol - GetEventConditionAttributes Request;application-site
MMS Protocol - GetEventConditionAttributes Response;application-site
MMS Protocol - GetEventEnrollmentAttributes Request;application-site
MMS Protocol - GetEventEnrollmentAttributes Response;application-site
MMS Protocol - GetNamedTypeAttributes Request;application-site
MMS Protocol - GetNamedTypeAttributes Response;application-site
MMS Protocol - GetNamedVariableListAttributes Request;application-site
MMS Protocol - GetNamedVariableListAttributes Response;application-site
MMS Protocol - getNameList Request;application-site
MMS Protocol - getNameList Response;application-site
MMS Protocol - GetProgramInvocationAttributes Request;application-site
MMS Protocol - GetProgramInvocationAttributes Response;application-site
MMS Protocol - GetScatteredAccessAttributes Request;application-site
MMS Protocol - GetScatteredAccessAttributes Response;application-site
MMS Protocol - GetVariableAccessAttributes Request;application-site
MMS Protocol - GetVariableAccessAttributes Response;application-site
MMS Protocol - Identify Request;application-site
MMS Protocol - Identify Response;application-site
MMS Protocol - InformationReport;application-site
MMS Protocol - InitializeJournal Request;application-site
MMS Protocol - InitializeJournal Response;application-site
MMS Protocol - Initiate Request;application-site
MMS Protocol - Initiate Response;application-site
MMS Protocol - InitiateDownloadSequence Request;application-site
MMS Protocol - InitiateDownloadSequence Response;application-site
MMS Protocol - InitiateUploadSequence Request;application-site
MMS Protocol - InitiateUploadSequence Response;application-site
MMS Protocol - Input Repsonse;application-site
MMS Protocol - Input Request;application-site
MMS Protocol - Kill Request;application-site
MMS Protocol - Kill Response;application-site
MMS Protocol - LoadDomainContent Request;application-site
MMS Protocol - LoadDomainContent Response;application-site
MMS Protocol - ObtainFile Request;application-site
MMS Protocol - ObtainFile Response;application-site
MMS Protocol - Output Request;application-site
MMS Protocol - Output Response;application-site
MMS Protocol - Read Request;application-site
MMS Protocol - Read Response;application-site
MMS Protocol - ReadJournal Request;application-site
MMS Protocol - ReadJournal Response;application-site
MMS Protocol - RelinquishControl Request;application-site
MMS Protocol - RelinquishControl Response;application-site
MMS Protocol - Rename Request;application-site
MMS Protocol - Rename Response;application-site
MMS Protocol - ReportEventActionStatus Request;application-site
MMS Protocol - ReportEventActionStatus Response;application-site
MMS Protocol - ReportEventConditionStatus Request;application-site
MMS Protocol - ReportEventConditionStatus Response;application-site
MMS Protocol - ReportEventEnrollmentStatus Request;application-site
MMS Protocol - ReportEventEnrollmentStatus Response;application-site
MMS Protocol - ReportJournalStatus Request;application-site
MMS Protocol - ReportJournalStatus Response;application-site
MMS Protocol - ReportPoolSemaphoreStatus Request;application-site
MMS Protocol - ReportPoolSemaphoreStatus Response;application-site
MMS Protocol - ReportSemaphoreEntryStatus Request;application-site
MMS Protocol - ReportSemaphoreEntryStatus Response;application-site
MMS Protocol - ReportSemaphoreStatus Request;application-site
MMS Protocol - ReportSemaphoreStatus Response;application-site
MMS Protocol - RequestDomainDownload Request;application-site
MMS Protocol - RequestDomainDownload Response;application-site
MMS Protocol - RequestDomainUpload Request;application-site
MMS Protocol - RequestDomainUpload Response;application-site
MMS Protocol - Reset Request;application-site
MMS Protocol - Reset Response;application-site
MMS Protocol - Resume Request;application-site
MMS Protocol - Resume Response;application-site
MMS Protocol - Start Request;application-site
MMS Protocol - Start Response;application-site
MMS Protocol - Status Request;application-site
MMS Protocol - Status Response;application-site
MMS Protocol - Stop Request;application-site
MMS Protocol - Stop Response;application-site
MMS Protocol - StoreDomainContent Request;application-site
MMS Protocol - StoreDomainContent Response;application-site
MMS Protocol - TakeControl Request;application-site
MMS Protocol - TakeControl Response;application-site
MMS Protocol - TerminateDownloadSequence Request;application-site
MMS Protocol - TerminateDownloadSequence Response;application-site
MMS Protocol - TerminateUploadSequence Request;application-site
MMS Protocol - TerminateUploadSequence Response;application-site
MMS Protocol - TriggerEvent Request;application-site
MMS Protocol - TriggerEvent Response;application-site
MMS Protocol - UnsolicitedStatus;application-site
MMS Protocol - UploadSegment Request;application-site
MMS Protocol - UploadSegment Response;application-site
MMS Protocol - Write Request;application-site
MMS Protocol - Write Response;application-site
MMS Protocol - WriteJournal Request;application-site
MMS Protocol - WriteJournal Response;application-site
Mneah;service-tcp
MNM Jain Engineering College;application-site
Mobango;application-site
MobiControl;application-site
Mobile Backup Data;CpmiGroupDataType
Mobile Google Maps;application-site
Mobile IP;application-site
Mobile Legends;application-site
Mobile Monitor;application-site
Mobile MySpace;application-site
Mobile Software;application-site-category
Mobile Spy;application-site
mobile-prefix-advertisement;service-icmp6
mobile-prefix-solicitation;service-icmp6
MobileMe;application-site
Mobility Header;application-site
Mobility_Header;service-other
Mobivox;application-site
Mobogenie;application-site
MoboRobo;application-site
Mobypicture;application-site
MockFlow;application-site
MocoSpace;application-site
Modbus;service-tcp
Modbus ASCII Protocol;application-site
Modbus Protocol;application-site
Modbus Protocol - CANOpen General Reference;application-site
Modbus Protocol - diagnostic;application-site
Modbus Protocol - encapsulated interface transport;application-site
Modbus Protocol - get com event counter;application-site
Modbus Protocol - get com event log;application-site
Modbus Protocol - mask write register;application-site
Modbus Protocol - read coils;application-site
Modbus Protocol - Read Device Identification;application-site
Modbus Protocol - read discrete inputs;application-site
Modbus Protocol - read exception status;application-site
Modbus Protocol - read FIFO queue;application-site
Modbus Protocol - read file record;application-site
Modbus Protocol - read holding registers;application-site
Modbus Protocol - read input register;application-site
Modbus Protocol - read-write multiple registers;application-site
Modbus Protocol - report slave id;application-site
Modbus Protocol - write file record;application-site
Modbus Protocol - write multiple coils;application-site
Modbus Protocol - write multiple registers;application-site
Modbus Protocol - write single coil;application-site
Modbus Protocol - write single register;application-site
Modbus RTU;application-site
Modern Warfare 2;application-site
MoFile;application-site
Mog;application-site
mogimogi;application-site
Mogulus;application-site
MoinMoin;application-site
moinmoin editing;application-site
MoiPal;application-site
MojeekBot;application-site
Mokitown;application-site
moli;application-site
Mom2Mom;application-site
Moments;application-site
MomJunction;application-site
mon.itor.us;application-site
Monaco IBAN;CpmiPatternDataType
Monday;application-site
MongoDB;application-site
MongoFiles;application-site
Monica;application-site
Monitter;application-site
MonoTorrent;application-site
Monova.org;application-site
Montenegro IBAN;CpmiPatternDataType
Montserrat Phone Numbers;CpmiPatternDataType
Moo;application-site
Moo-upload;application-site
MoodBox;application-site
Moodle;application-site
Moodstream;application-site
moonriverphotography;application-site
MooPolice;application-site
Mootie;application-site
Moove Online;application-site
MorgueFile;application-site
MorgueFile-download;application-site
MorgueFile-upload;application-site
Morningstar;application-site
Morningstar-posting;application-site
Morpheus Music;application-site
MorphoManager;application-site
Mosh;application-site
Moshi Monster;application-site
MothersClick;application-site
Motionbox Express Uploader;application-site
Motorola MDLC Protocol;application-site
Motorola MDLC Protocol - Broadcast to RTU;application-site
Motorola MDLC Protocol - Connect;application-site
Motorola MDLC Protocol - Get IPGW Time;application-site
Motorola MDLC Protocol - Get RTU Time;application-site
Motorola MDLC Protocol - Poll COS from RTU Table;application-site
Motorola MDLC Protocol - Poll RTU Table;application-site
Motorola MDLC Protocol - Send Value to RTU Table;application-site
Motorola MDLC Protocol - Set IPGW Time;application-site
Motorola MDLC Protocol - Set RTU Time;application-site
Motorola MDLC Protocol - Sync Time;application-site
Motorolla PTT Services;application-site
MOUNT Protocol;application-site
mountd;service-rpc
MouthShut.com;application-site
Movie-torrentz.com;application-site
Moviebox;application-site
Movies Passions;application-site
MovieSherlock;application-site
Moxtra;application-site
Moxtra-download;application-site
Moxtra-meeting;application-site
Moxtra-upload;application-site
Moyea Web Player;application-site
Mozes;application-site
mozy;application-site
MP3 Galaxy;application-site
MP3 Rocket;application-site
MP3 Search Premium;application-site
MP3 Torpedo;application-site
MP3 Torrent Downloader;application-site
MP3-Finder;application-site
MPEG-TS Protocol;application-site
MPEG.org;application-site
MPLS-IN-IP;application-site
MQbot;application-site
MQTT Protocol;application-site
Mr Uptime;application-site
Mr. Tweet;application-site
Mrtwig.net;application-site
MS-DFS-R;application-site
MS-Netlogon Protocol;application-site
MS-SQL;service-group
MS-SQL-Monitor;service-tcp
MS-SQL-Monitor_UDP;service-udp
MS-SQL-Server;service-tcp
MS-SQL-Server_UDP;service-udp
MS-WINS;application-site
MS-WMI Protocol;application-site
MS-WMSP Protocol;application-site
MSD Protocol;application-site
MSExchange;service-group
MSExchange-2000;service-group
MSExchange-RemoteAdmin;service-group
MSExchange-SiteConnector;service-group
MSExchange_2007;service-group
MSExchangeADL;service-dce-rpc
MSExchangeDatabase;service-dce-rpc
MSExchangeDirRef;service-dce-rpc
MSExchangeDirRep;service-dce-rpc
MSExchangeDSNSPI;service-dce-rpc
MSExchangeDSRep;service-dce-rpc
MSExchangeDSXDS;service-dce-rpc
MSExchangeInformationStore1;service-dce-rpc
MSExchangeInformationStore2;service-dce-rpc
MSExchangeInformationStore3;service-dce-rpc
MSExchangeIS;service-dce-rpc
MSExchangeIS_Async;service-dce-rpc
MSExchangeMTA;service-dce-rpc
MSExchangeQAdmin;service-dce-rpc
MSExchangeStoreAdm;service-dce-rpc
MSExchangeStoreAdmin1;service-dce-rpc
MSExchangeStoreAdmin3;service-dce-rpc
MSExchangeSTOREAsyncEMSMDB;service-dce-rpc
MSExchangeSysAtt;service-dce-rpc
MSExchangeSysAttPriv;service-dce-rpc
MSMQ;service-dce-rpc
msn Money;application-site
MSN Web Messenger;application-site
MSN-web;application-site
MSN_Messenger;service-group
MSN_Messenger_1863_UDP;service-udp
MSN_Messenger_5190;service-udp
MSN_Messenger_File_Transfer;service-tcp
MSN_Messenger_Voice;service-udp
MSNMS;service-tcp
MSNP;service-tcp
Mspy;application-site
MSRPC Exchange Services;application-site
MSSQL_resolver;service-udp
MTConnect;application-site
Muck Rack;application-site
muCommander;application-site
Muecs;application-site
Mugasha;application-site
MuleSoft;application-site
Mullvad;application-site
MultCloud;application-site
MultCloud-download;application-site
MultCloud-upload;application-site
Multicast DNS Protocol (mDNS);application-site
multicast-listener-done;service-icmp6
multicast-listener-query;service-icmp6
multicast-listener-report;service-icmp6
Multidropper;service-tcp
Multigames;application-site
Multinational Personal Identification Numbers;CpmiGroupDataType
Multinational Terms for Secret;CpmiWordsDataType
Multinational Terms for Top Secret;CpmiWordsDataType
Multiply;application-site
MultiUpload;application-site
MultiURL;application-site
Mumble;application-site
MuMu;application-site
mundu SMS;application-site
Munin;application-site
Muse;application-site
Music Passions;application-site
Music-Vid.com;application-site
Musicmazaa;application-site
Mute;application-site
MVAClient;application-site
My Docs Online;application-site
My Internet TV;application-site
My Opera;application-site
My Organization Name;CpmiWordsDataType
My Organization Products and Services;CpmiDictionaryDataType
My Quick Search Bar;application-site
My Remote Files;application-site
My Shopping Bank;application-site
My Twitter Weighs a Ton;application-site
My-Files.RU;application-site
My-Files.RU-upload;application-site
my-robot;application-site
My1Login;application-site
myabui;application-site
Myasset HTS;application-site
MyBlogLog;application-site
mybuzzle;application-site
MyCatSpace;application-site
MyCollegeSpace;application-site
Mycool;application-site
MyCorgi.com;application-site
MyDataNest;application-site
MyDogSpace;application-site
MyDownloader;application-site
MyDrive;application-site
Myemail;application-site
MyePets.com;application-site
Myfamily;application-site
MyFamilyBot;application-site
myghetto;application-site
MyGreenPC;application-site
MyHeritage;application-site
MyImg;application-site
MyIntranet;vpn-community-meshed
MyItThings;application-site
MyIVO;application-site
MyJabber;application-site
myJXTA;application-site
MyLife;application-site
MyLiveGallery;application-site
MyMiniLife;application-site
MyNapster;application-site
MyNewsToGo;application-site
myOtherDrive;application-site
myOtherDrive - download;application-site
myOtherDrive - upload;application-site
MyownDB;application-site
MyPeople Messenger;application-site
MyPeople Messenger-download;application-site
MyPeople Messenger-upload;application-site
MyPokerCoach.net;application-site
MyPractice;application-site
Myrl;application-site
MySatellite;application-site
MySites;application-site
mysocialincome;application-site
MySpace;application-site
MySpace Mail;application-site
MySpace Video;application-site
MySpace Widgets;application-site-category
MySpace Widgets;application-site-category
MySpace-posting;application-site
MySpace-streaming;application-site
Myspace-upload;application-site
MySQL;service-tcp
MySQL - alter schema;application-site
MySQL - create schema;application-site
MySQL - drop schema;application-site
MySQL Community Server;application-site
Mystart ToolBar;application-site
MySter;application-site
MyStore;application-site
MythusFlashDown;application-site
Mytopia;application-site
myTripbook;application-site
MyTVPal Player;application-site
mytvrss;application-site
MyUnspace;application-site
MyWebProfile.Com;application-site
Myxer;application-site
MyxerTones;application-site
naijanetworks;application-site
Nakido;application-site
Nakido Flag;application-site
name;service-udp
Namecoin;application-site
Names and Surnames;CpmiCompoundDataType
Names and Surnames - 20 or more;CpmiCompoundDataType
namethis;application-site
NanoCore;application-site
naoFavicon4IE;application-site
Napster;service-group
Napster_Client_6600-6699;service-tcp
Napster_directory_4444;service-tcp
Napster_directory_5555;service-tcp
Napster_directory_6666;service-tcp
Napster_directory_7777;service-tcp
Napster_directory_8888_primary;service-tcp
Napster_redirector;service-tcp
NASA;application-site
NASA TV;application-site
Nasza-klasa;application-site
Nate;application-site
Nate-mail-posting;application-site
Nate-streaming;application-site
Nate-video;application-site
NateOn;application-site
NateOn Web;application-site
NateOn-audio video;application-site
NateOn-desktop sharing;application-site
NateOn-file transfer;application-site
NateOn-file transfer-download;application-site
NateOn-file transfer-upload;application-site
NateOn-mail;application-site
NateOn-mail-download;application-site
NateOn-mail-upload;application-site
NateOn-Phone;application-site
NateOn-secret;application-site
Natorrent.com;application-site
NatterChat;application-site
Nature / Conservation;application-site-category
Naver;application-site
Naver Blog;application-site
Naver Blog-posting;application-site
Naver Cafe;application-site
Naver Cafe-posting;application-site
Naver Cloud;application-site
Naver Cloud-download;application-site
Naver Cloud-upload;application-site
Naver Mail;application-site
Naver Mail-download;application-site
Naver Mail-posting;application-site
